id,Stock,Beta,marketcap,trailingPE,forwardPE
462,ARE.TO,1.162,1059151488,8.1,12.06383
463,ANZ.NZ,0.765,96048660480,12.914979,12.037735
464,AMC.AX,0.839,20956338176,21.235292,20.62857
465,AMADY,1.239,27938560000,24.287878,18.693878
466,ALU.AX,0.507,8604278784,81.525,55.27119
467,ALPHA.AT,1.785,3830760704,7.409091,5.2580643
468,ALMDG.PA,0.948,100941984,17.52688,14.298245
469,ALFVY,1.169,16212249600,28.369566,43.02198
470,ALFAA.MX,1.015,58490798080,8.531034,7.109195
471,AGS.BR,0.747,7883159552,8.653225,5.9199996
472,ADP.PA,1.299,12543575040,19.890453,18.393633
473,ABF.L,1.238,18822729728,1864.1791,12.951057
474,ABC.AX,1.154,2054898304,22.357143,17.38889
475,AAV.TO,1.646,1578824064,16.745764,7.3185186
476,AAD.DE,1.671,652945600,16.243242,14.676435
477,A2A.MI,1.133,5242925056,13.945833,10.459374
478,5014.KL,0.772,16618758144,29.294117,18.792454
479,4162.KL,0.729,2312793088,11.095891,10.8
480,ZZ-B.ST,1.442,2597741824,17.762238,13.8294
481,XIL.PA,0.952,23757134,51.125004,-34.083336
482,IBM,0.708,175061630976,23.430677,17.896908
483,BP,0.539,106034159616,7.316505,6.9907236
484,BIDU,0.675,36916641792,13.798164,8.650781
485,BRK-A,0.894,908403867648,9.551387,22.087914
486,BBY,1.509,17667702784,14.441901,12.188707
487,BX,1.499,159203344384,71.01081,21.360975
488,BSX,0.779,100673454080,64.00934,26.858824
489,BIIB,-0.024,31344191488,27.021303,12.237798
490,BMY,0.372,109663363072,14.049223,7.638028
491,USB,1.054,69656461312,13.669725,10.228833
492,BRK-B,0.894,909252558848,9.496839,21.811201
493,BLK,1.383,124172943360,22.828587,18.226934
494,YUM,1.1,39007236096,24.803219,21.298002
495,BTU,0.993,3114086400,4.852,8.394464
496,MNST,0.718,62083940352,38.493507,28.637682
497,BK,1.102,43380424704,14.888889,9.782682
498,FITB,1.278,25434896384,11.555901,10.601139
